"Dataset","Age","lh_bankssts_thickness"
"ABIDE_I","13.8",2.36735552065152
"ABIDE_I","17.6",2.14169440479442
"ABIDE_I","14.8",2.12338689163585
"ABIDE_I","13.3",2.55590189000698
"ABIDE_I","14.9",1.85220685297459
"ABIDE_I","15.8",2.61768974691714
"ABIDE_I","15.4",2.46322010464174
"ABIDE_I","14.8",2.09363718275318
"ABIDE_I","17.9",2.39685536944193
"ABIDE_I","16.6",2.63256460135847
"ABIDE_I","13.6",2.47122964164861
"ABIDE_I","15.8",2.2606932403251
"ABIDE_I","15.5",2.21606867700109
"ABIDE_I","18.2806",2.70798902133985
"ABIDE_I","18.7379",2.65857883800495
"ABIDE_I","18.2615",2.59652884032858
"ABIDE_I","16.104",2.76888994498518
"ABIDE_I","13.8097",2.97342512251102
"ABIDE_I","14.9432",2.66892050428435
"ABIDE_I","15.0253",3.10786678414317
"ABIDE_I","22.601",2.41152792133049
"ABIDE_I","23.948",2.64364087560138
"ABIDE_I","27.5975",2.93205845739343
"ABIDE_I","26.8528",2.65398254188078
"ABIDE_I","17.0705",2.53792606474533
"ABIDE_I","24.9884",2.67351680040853
"ABIDE_I","18.1383",2.81944920235112
"ABIDE_I","27.3238",2.67351680040853
"ABIDE_I","12.9391",2.67581494847061
"ABIDE_I","10.4668",2.98031956669728
"ABIDE_I","18.2177",2.54826773102473
"ABIDE_I","21.0979",2.68041124459479
"ABIDE_I","12.5257",2.67581494847061
"ABIDE_I","29.9685",2.72062883568133
"ABIDE_I","8.7721",2.69879642909149
"ABIDE_I","18.8008",2.42646588373406
"ABIDE_I","31.2827",2.54367143490055
"ABIDE_I","16.0986",2.79416957366815
"ABIDE_I","34.0534",2.54941680505577
"ABIDE_I","26.1465",2.5057519918761
"ABIDE_I","18.1547",2.57699458180083
"ABIDE_I","14.412",2.7746353151404
"ABIDE_I","16.3943",2.6493862457566
"ABIDE_I","24.6543",2.50690106590714
"ABIDE_I","28.3669",2.659727912036
"ABIDE_I","9.9548",2.96997790041788
"ABIDE_I","34.0068",2.55401310117995
"ABIDE_I","39.2526",2.40463347714423
"ABIDE_I","19.7591",2.43680755001346
"ABIDE_I","39.3949",2.66892050428435
"ABIDE_I","28.5613",2.71833068761924
"ABIDE_I","9.9165",2.92516401320717
"ABIDE_I","25.0157",2.61491402482528
"ABIDE_I","22.1081",2.16217885659394
"ABIDE_I","22.4367",2.72177790971238
"ABIDE_I","22.0479",2.55631124924204
"ABIDE_I","15.92",2.1300047837247
"ABIDE_I","12.75",2.22537792830136
"ABIDE_I","9.75",2.71028716940194
"ABIDE_I","8.67",2.25295570504641
"ABIDE_I","14.42",2.14641741097638
"ABIDE_I","10.67",2.52988254652802
"ABIDE_I","14.25",2.46126369548244
"ABIDE_I","13.75",2.64166831835635
"ABIDE_I","12.25",2.47932328916209
"ABIDE_I","9.25",2.00820293643404
"ABIDE_I","13.33",2.06680571201728
"ABIDE_I","10.83",2.35522329380933
"ABIDE_I","13.92",2.10734889392088
"ABIDE_I","7.66",2.03692978721014
"ABIDE_I","11",2.38657388346458
"ABIDE_I","9.66",2.30006774031922
"ABIDE_I","17.83",2.3333908872195
"ABIDE_I","13.92",2.27823533372938
"ABIDE_I","16.66",2.24064148152199
"ABIDE_I","16.66",2.37131033024395
"ABIDE_I","11",2.02773719496179
"ABIDE_I","15.75",2.08092019120687
"ABIDE_I","14.17",1.81171127712551
"ABIDE_I","10.92",1.97832701162689
"ABIDE_I","14",1.92432053216782
"ABIDE_I","8.42",2.68763127959811
"ABIDE_I","15.25",2.31385662869175
"ABIDE_I","12.33",1.77149368603897
"ABIDE_I","28",2.52296938249933
"ABIDE_I","21",2.44720103062799
"ABIDE_I","27",2.4037206868764
"ABIDE_I","27",2.52958483984154
"ABIDE_I","25",2.42431663917978
"ABIDE_I","20",2.02637808807322
"ABIDE_I","21",2.53759437684841
"ABIDE_I","21",2.48610449608994
"ABIDE_I","33",2.38312473457301
"ABIDE_I","31",2.78589002406146
"ABIDE_I","40",2.53530593770359
"ABIDE_I","25",2.49525825266923
"ABIDE_I","30",2.43372025585132
"ABIDE_I","23",2.50460291784506
"ABIDE_I","24",2.56665291552143
"ABIDE_I","23",2.64823717172556
"ABIDE_I","22",2.51264643606236
"ABIDE_I","21",2.80221309188546
"ABIDE_I","22",2.75050476048848
"ABIDE_I","22",2.5632056934283
"ABIDE_I","28",2.41727329148571
"ABIDE_I","21",2.39773903295796
"ABIDE_I","18",2.25295570504641
"ABIDE_I","29",2.29662051822609
"ABIDE_I","22",2.37705570039917
