Age,ICV
0.22,902472.8457
0.22,678008.5299
0.22,690450.2564
0.23,538323.0794
0.23,503561.9849
0.23,761250.5848
0.23,713593.5877
0.23,860107.4736
0.24,494433.4635
0.25,684492.8115
0.25,722613.5346
0.25,720859.0495
0.25,832418.388
0.25,590182.5468
0.25,670534.3979
0.25,871344.357
0.25,751537.5129
0.25,485523.794
0.25,726464.9609
0.25,668168.0363
0.26,655550.767
0.26,557899.6535
0.26,725496.2962
0.26,761426.6327
0.26,546119.19
0.27,616729.3518
0.27,491850.1771
0.27,783400.8784
0.28,823069.4735
0.28,694773.8989
0.28,511702.2805
0.28,675751.779
0.28,789021.3511
0.28,627644.4493
0.28,751166.9862
0.29,815589.7794
0.29,853697.1911
0.29,625740.6068
0.30,794703.6365
0.30,795767.4184
0.30,711088.6125
0.30,705609.8103
0.30,738031.1296
0.33,674807.7946
0.33,719380.1092
0.33,785221.6653
0.33,836336.5015
0.35,757722.5015
0.37,714641.501
0.37,770666.6239
0.38,740644.3511
0.38,1057774.13
0.38,700137.4555
0.39,798877.2914
0.39,815265.7437
0.39,656192.7712
0.40,831262.8585
0.42,842010.5949
0.43,998238.0526
0.43,730666.2386
0.45,820864.536
0.45,967397.6026
0.46,725966.3824
0.47,932011.4711
0.47,901364.7498
0.48,832095.6647
0.48,846332.3625
0.48,990297.8342
0.48,939049.8215
0.48,868728.016
0.49,826414.4469
0.49,788505.9615
0.49,761133.4122
0.49,936267.9942
0.50,862860.6261
0.50,963172.8894
0.50,866439.7052
0.50,975252.1459
0.50,980784.3708
0.50,810953.3555
0.50,908554.4679
0.51,1055049.48
0.52,796863.8277
0.52,979492.7275
0.52,838193.9781
0.52,919888.2183
0.52,928502.0686
0.53,1005472.579
0.53,826305.2059
0.53,885930.7135
0.53,838062.1713
0.53,799915.2056
0.54,881180.5489
0.54,938401.7552
0.54,807917.7314
0.55,1011567.95
0.56,945920.8835
0.56,894976.1583
0.57,980006.4351
0.57,795174.5976
0.58,820773.4185
0.59,931372.8989
0.62,971829.3664
0.63,856621.7045
0.63,1061015.862
0.64,1005384.217
0.65,875691.1851
0.68,918353.4129
0.69,930604.3999
0.69,916817.2899
0.70,866866.5397
0.70,946119.1171
0.71,819236.4831
0.71,1009940.085
0.71,948871.8895
0.72,1044417.365
0.73,1129021.244
0.73,1067647.694
0.73,1124661.725
0.73,899881.9401
0.73,1031297.319
0.73,1056000.152
0.73,892612.7287
0.74,862531.0284
0.74,1044592.595
0.74,1029084.377
0.75,917236.5052
0.75,950314.7702
0.75,896812.4387
0.75,977526.6453
0.75,940101.6772
0.75,1059757.966
0.76,1014304.224
0.76,764507.5707
0.76,1059918.078
0.77,1038233.246
0.77,865869.7523
0.77,940534.4487
0.77,996199.7889
0.77,957590.5385
0.78,1093110.333
0.78,973178.1298
0.78,790826.0821
0.79,1073185.981
0.79,1106164.759
0.79,951959.5093
0.79,967586.587
0.79,1049094.603
0.79,985742.841
0.79,937168.102
0.80,1023811.938
0.80,1159077.754
0.80,993415.9565
0.80,1087134.827
0.80,1015020.103
0.80,946035.1241
0.80,888944.032
0.81,942292.6158
0.81,771791.281
0.81,1107509.768
0.84,1134724.523
0.86,1013379.494
0.87,1038742.704
0.88,1000590.613
0.88,1161036.592
0.88,1033552.571
0.91,1220940.394
0.94,992120.1262
0.95,862012.3161
0.96,1000423.815
0.97,1132592.944
0.97,1173380.571
0.98,911190.3124
0.98,966583.2376
0.98,873670.1074
0.98,1079139.364
0.99,1026568.71
0.99,949667.9487
1.00,1305933.862
1.00,983742.1262
1.00,1138505.455
1.00,911527.7272
1.00,954266.256
1.00,940854.6149
1.01,1079332.223
1.01,1089720.119
1.01,1247069.729
1.01,903558.0737
1.01,1158957.889
1.02,1021373.833
1.02,1073092.619
1.02,975696.8591
1.02,1039422.528
1.02,1120575.063
1.02,1026735.696
1.03,1130031.156
1.03,1044312.993
1.03,1037635.795
1.03,986752.5075
1.04,1057866.003
1.04,1057489.154
1.04,912063.183
1.05,1203454.835
1.05,1207469.753
