"Dataset","lh_inferiortemporal_thickness"
"ABIDE_I",2.839
"ABIDE_I",2.625
"ABIDE_I",2.472
"ABIDE_I",2.612
"ABIDE_I",2.41
"ABIDE_I",2.296
"ABIDE_I",2.638
"ABIDE_I",2.387
"ABIDE_I",2.414
"ABIDE_I",2.28
"ABIDE_I",2.429
"ABIDE_I",2.601
"ABIDE_I",2.487
"ABIDE_I",2.39
"ABIDE_I",2.693
"ABIDE_I",2.234
"ABIDE_I",2.286
"BCH",3.12
"BCH",2.914
"BCH",3.402
"BCH",3.182
"BCH",3.105
"BCH",3.064
"BCH",3.001
"BCH",1.46
"BCH",3.158
"BCH",3.255
"BCH",3.361
"BCH",3.161
"BCH",3.316
"BCH",3.148
"BCH",3.133
"BCH",3.343
"BCH",3.093
"BCH",3.049
"BCH",3.063
"BCH",3.065
"BCH",3.18
"BCH",2.987
"BCH",2.14
"BCH",3.045
"BCH",2.925
"BCH",3.207
"BCH",3.28
"BCH",3.195
"BCH",3.149
"BCH",2.989
"BCH",3.258
"BCH",2.93
"BCH",3.183
"BCH",3.379
"BCH",2.865
"BCH",3.015
"BCH",3.498
"BCH",2.83
"BCH",3.142
"BCH",3.271
"BCH",2.668
"BCH",2.23
"BCH",3.205
"BCH",3.327
"BCH",3.007
"BCH",2.891
"BCH",2.853
"BCH",2.13
"BCH",3.026
"BCH",3.004
"BCH",2.47
"BCH",2.999
"BCH",2.886
"BCH",2.938
"BCH",3.041
"BCH",3.075
"BCH",2.534
"BCH",2.808
"BCH",1.637
"BCH",3.109
"BCH",2.895
"BCH",1.743
"BCH",3.006
"BCH",2.845
"BCH",3.01
"BCH",3.391
"BCH",2.043
"BCH",1.987
"BCH",3.206
"BCH",1.715
"BCH",1.941
"BCH",2.982
"BCH",3.353
"BCH",3.028
"BCH",3.408
"BCH",3.024
"BCH",3.165
"BCH",3.231
"BCH",3.05
"BCH",2.487
"BCH",3.336
"BCH",3.159
"BCH",1.884
"BCH",3.193
"BCH",3.489
"BCH",3.068
"BCH",3.017
"BCH",3.334
"BCH",3.125
"BCH",1.402
"BCH",3.445
"BCH",3.023
"BCH",3.186
"BCH",3.311
"BCH",3.099
"BCH",1.738
"BCH",3.315
"BCH",2.032
"BCH",1.986
"BCH",3.096
"BCH",3.017
"BCH",2.847
"BCH",1.697
"BCH",1.609
"BGSP",2.846
"BGSP",2.835
"BGSP",2.92
"BGSP",2.589
"BGSP",2.895
"BGSP",2.823
"BGSP",2.75
"BGSP",2.801
"BGSP",2.797
"BGSP",2.889
"BGSP",2.731
"BGSP",2.775
"BGSP",2.552
"BGSP",2.751
"BGSP",2.81
"BGSP",2.598
"BGSP",2.776
"BGSP",2.738
"BGSP",2.566
"BGSP",2.688
"BGSP",2.668
"BGSP",2.948
"BGSP",2.804
"BGSP",2.579
"BGSP",2.695
"BGSP",2.715
"BGSP",2.901
"BGSP",2.713
"BGSP",2.564
"BGSP",2.774
"BGSP",2.62
"BGSP",2.714
"BGSP",2.79
"BGSP",2.675
"BGSP",2.748
"BGSP",2.807
"BGSP",2.605
"BGSP",2.807
"BGSP",2.674
"BGSP",2.579
"BGSP",2.773
"BGSP",2.606
"BGSP",2.449
"BGSP",2.818
"BGSP",2.693
"BGSP",2.86
"BGSP",2.606
"BGSP",2.504
"BGSP",2.524
"BGSP",2.699
"BGSP",2.765
"BGSP",2.559
"BGSP",2.724
"BGSP",2.735
"BGSP",2.643
"BGSP",2.799
"BGSP",2.761
"BGSP",2.382
"BGSP",2.762
"BGSP",2.856
"BGSP",2.801
"BGSP",2.719
"BGSP",2.9
"BGSP",2.674
"BGSP",2.716
"BGSP",2.699
"BGSP",2.958
"BGSP",2.596
"BGSP",2.692
"BGSP",2.613
"BGSP",2.512
"BGSP",2.604
"BGSP",2.684
"BGSP",2.682
"BGSP",2.904
"BGSP",2.775
"BGSP",2.579
"BGSP",2.601
"BGSP",2.675
"BGSP",3.013
"BGSP",2.742
"BGSP",2.624
"BGSP",2.413
"BGSP",2.548
"BGSP",2.498
"BGSP",2.788
"BGSP",2.826
"BGSP",2.446
"BGSP",2.644
"BGSP",2.643
"BGSP",2.664
"BGSP",2.686
"BGSP",3.003
"BGSP",2.589
"BGSP",2.652
"BGSP",2.702
"BGSP",2.763
"BGSP",2.596
"BGSP",2.483
"BGSP",2.554
"BGSP",2.587
"BGSP",2.658
"BGSP",2.713
"BGSP",2.483
"BGSP",2.83
"BGSP",2.608
"BGSP",2.553
"BGSP",2.678
"BGSP",2.547
"BGSP",2.627
"BGSP",2.677
"BGSP",2.747
"BGSP",2.636
"BGSP",2.816
"BGSP",2.609
"BGSP",2.646
"BGSP",2.645
"BGSP",2.803
"BGSP",2.716
"BGSP",2.72
"BGSP",2.775
"BGSP",2.673
"BGSP",2.884
"BGSP",2.563
