"Dataset","lh_entorhinal_gauscurv"
"BGSP",0.031
"BGSP",0.028
"BGSP",0.027
"BGSP",0.029
"BGSP",0.023
"BGSP",0.024
"BGSP",0.04
"BGSP",0.035
"BGSP",0.024
"BGSP",0.019
"BGSP",0.03
"BGSP",0.031
"BGSP",0.027
"BGSP",0.026
"BGSP",0.027
"BGSP",0.031
"BGSP",0.026
"BGSP",0.029
"BGSP",0.027
"BGSP",0.021
"BGSP",0.025
"BGSP",0.036
"BGSP",0.024
"BGSP",0.029
"BGSP",0.03
"BGSP",0.035
"BGSP",0.03
"BGSP",0.024
"BGSP",0.035
"BGSP",0.026
"BGSP",0.026
"BGSP",0.027
"BGSP",0.031
"BGSP",0.037
"BGSP",0.031
"BGSP",0.028
"BGSP",0.026
"BGSP",0.023
"BGSP",0.02
"BGSP",0.029
"BGSP",0.032
"BGSP",0.026
"BGSP",0.02
"BGSP",0.033
"BGSP",0.029
"BGSP",0.024
"BGSP",0.017
"BGSP",0.027
"BGSP",0.031
"BGSP",0.027
"BGSP",0.022
"BGSP",0.03
"BGSP",0.017
"BGSP",0.035
"BGSP",0.017
"BGSP",0.023
"BGSP",0.028
"BGSP",0.025
"BGSP",0.027
"BGSP",0.03
"BGSP",0.029
"BGSP",0.044
"BGSP",0.018
"BGSP",0.024
"BGSP",0.026
"BGSP",0.031
"BGSP",0.032
"BGSP",0.037
"BGSP",0.028
"BGSP",0.026
"BGSP",0.025
"BGSP",0.026
"BGSP",0.031
"BGSP",0.031
"BGSP",0.023
"BGSP",0.027
"BGSP",0.029
"BGSP",0.025
"BGSP",0.02
"BGSP",0.033
"BGSP",0.029
"BGSP",0.024
"BGSP",0.033
"BGSP",0.021
"BGSP",0.028
"BGSP",0.046
"BGSP",0.028
"BGSP",0.021
"BGSP",0.025
"BGSP",0.028
"BGSP",0.025
"BGSP",0.026
"BGSP",0.029
"BGSP",0.015
"BGSP",0.021
"BGSP",0.026
"BGSP",0.024
"BGSP",0.029
"BGSP",0.026
"BGSP",0.021
"BGSP",0.027
"BGSP",0.021
"BGSP",0.029
"BGSP",0.027
"BGSP",0.026
"BGSP",0.042
"BGSP",0.024
"BGSP",0.031
"BGSP",0.046
"BGSP",0.027
"BGSP",0.028
"BGSP",0.047
"BGSP",0.027
"BGSP",0.024
"BGSP",0.025
"BGSP",0.025
"BGSP",0.049
"BGSP",0.026
"BGSP",0.018
"BGSP",0.025
"BGSP",0.032
"BGSP",0.032
"BGSP",0.026
"BGSP",0.03
"BGSP",0.038
"BGSP",0.021
"BGSP",0.029
"BGSP",0.028
"BGSP",0.025
"BGSP",0.031
"BGSP",0.027
"BGSP",0.026
"BGSP",0.024
"BGSP",0.024
"BGSP",0.027
"BGSP",0.029
"BGSP",0.033
"BGSP",0.023
"BGSP",0.033
"BGSP",0.035
"BGSP",0.021
"BGSP",0.022
"BGSP",0.031
"BGSP",0.026
"BGSP",0.03
"BGSP",0.021
"BGSP",0.023
"BGSP",0.027
"BGSP",0.023
"BGSP",0.023
"BGSP",0.038
"BGSP",0.031
"BGSP",0.026
"BGSP",0.034
"BGSP",0.038
"BGSP",0.025
"BGSP",0.022
"BGSP",0.037
"BGSP",0.026
"BGSP",0.022
"BGSP",0.035
"BGSP",0.03
"BGSP",0.026
"BGSP",0.03
"BGSP",0.026
"BGSP",0.018
"BGSP",0.029
"BGSP",0.028
"BGSP",0.021
"BGSP",0.031
"BGSP",0.024
"BGSP",0.029
"BGSP",0.025
"BGSP",0.024
"BGSP",0.032
"BGSP",0.026
"BGSP",0.027
"BGSP",0.026
"BGSP",0.047
"BGSP",0.035
"BGSP",0.025
"BGSP",0.02
"BGSP",0.032
"BGSP",0.023
"BGSP",0.024
"BGSP",0.022
"BGSP",0.025
"BGSP",0.025
"BGSP",0.025
"BGSP",0.027
"BGSP",0.025
"BGSP",0.033
"BGSP",0.027
"BGSP",0.039
"BGSP",0.037
"BGSP",0.03
"BGSP",0.024
"BGSP",0.022
"BGSP",0.031
"BGSP",0.022
"BGSP",0.024
"BGSP",0.025
"BGSP",0.029
"BGSP",0.023
"BGSP",0.03
"BGSP",0.021
"BGSP",0.029
"BGSP",0.03
"BGSP",0.024
"BGSP",0.025
"BGSP",0.033
"BGSP",0.02
"BGSP",0.034
"BGSP",0.034
"BGSP",0.025
"BGSP",0.028
"BGSP",0.027
"BGSP",0.022
"BGSP",0.024
"BGSP",0.035
"BGSP",0.023
"BGSP",0.027
"BGSP",0.033
"BGSP",0.045
"BGSP",0.031
"BGSP",0.029
"BGSP",0.034
"BGSP",0.026
"BGSP",0.038
"BGSP",0.028
"BGSP",0.033
"BGSP",0.024
"BGSP",0.03
"BGSP",0.029
"BGSP",0.026
"BGSP",0.029
"BGSP",0.035
"BGSP",0.021
"BGSP",0.026
"BGSP",0.021
"BGSP",0.027
"BGSP",0.024
"BGSP",0.03
"BGSP",0.029
"BGSP",0.028
"BGSP",0.032
"BGSP",0.028
"BGSP",0.029
"BGSP",0.025
"BGSP",0.026
"BGSP",0.027
"BGSP",0.044
"BGSP",0.028
"BGSP",0.026
"BGSP",0.028
"BGSP",0.03
"BGSP",0.037
"BGSP",0.037
"BGSP",0.03
"BGSP",0.028
"BGSP",0.03
"BGSP",0.016
"BGSP",0.023
"BGSP",0.022
"BGSP",0.027
"BGSP",0.039
"BGSP",0.022
"BGSP",0.031
"BGSP",0.023
"BGSP",0.018
"BGSP",0.02
"BGSP",0.036
"BGSP",0.02
"BGSP",0.025
"BGSP",0.027
"BGSP",0.024
"BGSP",0.024
"BGSP",0.029
"BGSP",0.037
"BGSP",0.033
"BGSP",0.032
"BGSP",0.024
"BGSP",0.022
"BGSP",0.027
"BGSP",0.029
"BGSP",0.024
"BGSP",0.024
"BGSP",0.022
"BGSP",0.026
"BGSP",0.027
"BGSP",0.024
"BGSP",0.028
"BGSP",0.029
"BGSP",0.033
"BGSP",0.029
"BGSP",0.022
"BGSP",0.033
"BGSP",0.018
"BGSP",0.029
"BGSP",0.028
"BGSP",0.025
"BGSP",0.039
"BGSP",0.025
"BGSP",0.029
"BGSP",0.031
"BGSP",0.034
"BGSP",0.03
"BGSP",0.025
"BGSP",0.024
"BGSP",0.027
"BGSP",0.027
"BGSP",0.03
"BGSP",0.032
"BGSP",0.037
"BGSP",0.033
"BGSP",0.031
"BGSP",0.03
"BGSP",0.039
"BGSP",0.041
"BGSP",0.033
"BGSP",0.026
"BGSP",0.036
"BGSP",0.026
