"Dataset","caudalmiddlefrontal.GrayVol","zscore"
"BGSP",8852,2.42109104496271
"BGSP",6573,0.289197460376421
"BGSP",4184,-1.94559577067959
"BGSP",6777,0.480029532011174
"BGSP",6350,0.0805918134423523
"BGSP",7106,0.787793020088791
"BGSP",6882,0.578251921823179
"BGSP",7078,0.761600382805589
"BGSP",6228,-0.0335332490058824
"BGSP",5448,-0.763185287609351
"BGSP",6333,0.0646891408061229
"BGSP",5636,-0.587320437279284
"BGSP",4625,-1.53306173346916
"BGSP",4867,-1.30668251123578
"BGSP",5995,-0.25149340925538
"BGSP",6412,0.138589795998013
"BGSP",5604,-0.617254879888657
"BGSP",7001,0.689570630276785
"BGSP",7119,0.799953887398848
"BGSP",5325,-0.878245801389128
"BGSP",5745,-0.485356242141107
"BGSP",8412,2.00949245908383
"BGSP",5937,-0.305749586484869
"BGSP",6001,-0.245880701266123
"BGSP",5667,-0.558321446001454
"BGSP",7327,0.994527764359773
"BGSP",7373,1.03755852561075
"BGSP",8604,2.18909911474007
"BGSP",5020,-1.16355845750972
"BGSP",5766,-0.465711764178706
"BGSP",5752,-0.478808082820307
"BGSP",7973,1.59882932453649
"BGSP",4978,-1.20284741343452
"BGSP",6399,0.126428928687955
"BGSP",6942,0.634379001715754
"BGSP",5843,-0.393682011649902
"BGSP",6910,0.604444559106381
"BGSP",5353,-0.852053164105927
"BGSP",6431,0.156363371297328
"BGSP",4693,-1.46945104292425
"BGSP",6093,-0.159819178764175
"BGSP",9036,2.5932140899666
"BGSP",5325,-0.878245801389128
"BGSP",7341,1.00762408300137
"BGSP",9117,2.66898564782158
"BGSP",4924,-1.25336178533783
"BGSP",5766,-0.465711764178706
"BGSP",7326,0.99359231302823
"BGSP",6958,0.64934622302044
"BGSP",5867,-0.371231179692872
"BGSP",8041,1.66244001508141
"BGSP",4623,-1.53493263613225
"BGSP",8189,1.80088681214976
"BGSP",5603,-0.6181903312202
"BGSP",6098,-0.15514192210646
"BGSP",6409,0.135783442003384
"BGSP",7827,1.46225343013123
"BGSP",6333,0.0646891408061229
"BGSP",6788,0.490319496658146
"BGSP",5136,-1.05504610305074
"BGSP",5444,-0.766927092935522
"BGSP",7370,1.03475217161612
"BGSP",3932,-2.1813295062284
"BGSP",5677,-0.548966932686025
"BGSP",7064,0.748504064163989
"BGSP",5805,-0.429229162248532
"BGSP",6031,-0.217817161319835
"BGSP",7059,0.743826807506274
"BGSP",5312,-0.890406668699186
"BGSP",7026,0.712956913565358
"BGSP",6074,-0.17759275406349
"BGSP",6479,0.201265035211387
"BGSP",6270,0.00575570691891968
"BGSP",6145,-0.111175709523944
"BGSP",6649,0.360291761573682
"BGSP",6259,-0.0045342577280523
"BGSP",6262,-0.00172790373342358
"BGSP",5657,-0.567675959316883
"BGSP",6797,0.498738558642032
"BGSP",6818,0.518383036604433
"BGSP",4201,-1.92969309804336
"BGSP",6175,-0.0831121695776566
"BGSP",5667,-0.558321446001454
"BGSP",3987,-2.12987968299354
"BGSP",7835,1.46973704078357
"BGSP",4534,-1.61818780463957
"BGSP",7515,1.17039261468984
"BGSP",5503,-0.711735464374491
"BGSP",6427,0.152621565971156
"BGSP",5667,-0.558321446001454
"BGSP",6734,0.439805124754829
"BGSP",5251,-0.947469199923303
"BGSP",6445,0.169459689938929
"BGSP",5235,-0.96243642122799
"BGSP",7560,1.21248792460927
"BGSP",9452,2.98236184388845
"BGSP",5632,-0.591062242605456
"BGSP",7196,0.871983639927652
"BGSP",6372,0.101171742736296
"BGSP",5762,-0.469453569504878
"BGSP",5113,-1.07656148367622
"BGSP",5224,-0.972726385874962
"BGSP",4980,-1.20097651077143
"BGSP",5703,-0.524645198065909
"BGSP",6195,-0.0644031429467984
"BGSP",6193,-0.0662740456098842
"BGSP",5815,-0.419874648933103
"BGSP",5417,-0.792184278887181
"BGSP",8435,2.03100783970932
"BGSP",5501,-0.713606367037577
"BGSP",7112,0.793405728078048
"BGSP",9064,2.6194067272498
"BGSP",5849,-0.388069303660645
"BGSP",5504,-0.710800013042948
"BGSP",6741,0.446353284075629
"BGSP",4816,-1.35439052914447
"BGSP",5677,-0.548966932686025
"BGSP",4595,-1.56112527341545
"BGSP",6666,0.376194434209911
"BGSP",6010,-0.237461639282236
"BGSP",6914,0.608186364432552
"BGSP",4766,-1.40116309572161
"BGSP",3676,-2.42080504710338
"BGSP",5624,-0.598545853257799
"BGSP",7107,0.788728471420334
"BGSP",7501,1.15729629604824
"BGSP",6780,0.482835886005803
"BGSP",7340,1.00668863166983
"BGSP",5239,-0.958694615901818
"BGSP",5850,-0.387133852329102
"BGSP",7096,0.778438506773362
"BGSP",7328,0.995463215691316
"BGSP",8140,1.75504969690416
"BGSP",5746,-0.484420790809564
"BGSP",6267,0.00294935292429096
"BGSP",6412,0.138589795998013
"BGSP",5961,-0.283298754527839
"BGSP",6469,0.191910521895958
"BGSP",6048,-0.201914488683606
"BGSP",5974,-0.271137887217781
"BGSP",7526,1.18068257933681
"BGSP",3986,-2.13081513432508
"BGSP",4422,-1.72295835377237
"BGSP",6033,-0.215946258656749
"BGSP",7332,0.999205021017488
"BGSP",6444,0.168524238607386
"BGSP",6877,0.573574665165465
"BGSP",6416,0.142331601324184
"BGSP",6584,0.299487425023393
"BGSP",6205,-0.0550486296313693
"BGSP",6479,0.201265035211387
"BGSP",6616,0.329421867632766
