"Dataset","caudalanteriorcingulate.SurfArea","zscore"
"MGH",444,-0.229332720449186
"MGH",411,-0.411328226056156
"MGH",268,-1.19997541701969
"MGH",435,-0.278967858341996
"MGH",132,-1.95001750073326
"MGH",407,-0.433388287341849
"MGH",474,-0.0638822608064867
"MGH",278,-1.14482526380546
"MGH",629,0.790945114014128
"MGH",875,2.14763888308426
"MGH",352,-0.736714130020131
"MGH",277,-1.15034027912688
"MGH",507,0.118113244800483
"MGH",352,-0.736714130020131
"MGH",531,0.250473612514642
"MGH",495,0.051933060943403
"MGH",906,2.31860435804839
"MGH",536,0.278048689121759
"MGH",585,0.548284439871502
"MGH",1509,5.64415859686665
"MGH",349,-0.753259175984401
"MGH",538,0.289078719764606
"BGSP",491,-1.16744528720389
"BGSP",845,1.43853724053778
"BGSP",818,1.23977586130325
"BGSP",687,0.275415095387546
"BGSP",435,-1.57969111080144
"BGSP",624,-0.188361456159701
"BGSP",379,-1.99193693439899
"BGSP",686,0.268053562823304
"BGSP",464,-1.36620666643842
"BGSP",610,-0.291422912059089
"BGSP",571,-0.578522682064528
"BGSP",523,-0.931876245148144
"BGSP",699,0.36375348615845
